4320,512
12232,1024
13188,1024
6088,512
7816,512
15312,1024
14456,1024
15656,1024
12060,1024
10768,512
4888,512
6932,512
12036,1024
5744,512
3052,256
7072,512
12192,1024
1068,64
4052,256
11940,1024
7008,512
8712,512
2016,128
2932,256
12184,1024
7524,512
2416,256
11164,1024
15560,1024
5392,512
9740,1024
5308,512
6644,512
11864,512
7388,512
16316,1024
7600,512
7172,512
7128,512
18448,1024
5772,512
21540,2048
5472,512
12028,1024
7224,512
10636,1024
7220,512
1532,128
9432,512
15680,1024
6412,512
6080,512
11832,1024
12160,1024
3244,256
7344,512
14668,1024
2244,128
4672,512
1544,128
6488,512
7044,512
5308,512
12112,1024
4120,256
15808,1024
6692,512
3184,256
5348,512
4312,256
6336,512
3912,256
15136,1024
6420,512
7012,512
1872,128
8280,512
7632,512
7952,512
7632,512
10356,1024
7080,512
3396,256
6424,512
6680,512
3352,256
6696,512
12160,1024
10428,1024
15448,1024
11420,1024
7992,512
2288,256
15468,1024
15752,1024
7080,512
7128,512
12404,1024
17048,1024
3748,256
8520,512
5024,256
3516,256
12256,1024
13860,1024
10456,1024
6468,512
7164,512
16376,1024
5416,512
3088,256
2732,128
4144,256
7220,512
7160,512
7068,512
11616,1024
5468,512
15700,1024
6512,512
4944,256
7396,512
3376,256
12164,1024
3288,256
5616,512
14608,1024
5020,256
5660,512
12076,1024
12176,1024
11800,1024
14728,1024
4032,256
7408,512
2352,128
7344,512
7824,512
8852,512
7192,512
12668,1024
14460,1024
15860,1024
4336,256
12092,1024
7020,512
7812,512
6896,512
2992,256
10432,1024
12136,1024
4280,256
4036,256
11924,1024
5404,512
8196,512
27460,2048
5404,512
7092,512
2556,128
8224,512
3824,256
10700,1024
10616,1024
7072,512
6460,512
3480,256
2148,128
5604,512
5280,512
2572,256
9052,512
7000,512
5748,512
5608,512
2184,128
4852,256
6440,512
4712,256
3164,256
15520,1024
14472,1024
5476,512
7036,512
2772,256
7488,512
5876,512
2492,128
12496,1024
13732,1024
4560,256
7024,512
10432,1024
7224,512
12340,1024
5756,512
7012,512
8732,512
2760,128
8764,512
11160,1024
12212,1024
3380,256
3188,256
16036,1024
6428,512
7232,512
13824,1024
2740,256
5692,512
3332,256
7136,512
4400,256
7156,512
6188,512
14372,1024
14800,1024
7104,512
3260,256
1724,128
4868,256
12080,1024
6752,512
11496,1024
1532,128
8764,512
6704,512
7292,512
8116,512
1416,128
12112,1024
2400,128
7268,512
16124,1024
3312,256
9688,1024
7412,512
7416,512
15316,1024
7164,512
1264,128
5632,512
6952,512
16036,1024
5232,256
14372,1024
5416,512
15316,1024
6492,512
10652,1024
9944,1024
6956,512
4240,256
6180,512
6340,512
7780,512
2892,256
14956,1024
13688,1024
4892,256
11424,1024
7180,512
6668,512
10412,1024
5272,512
1508,128
7048,512
6644,512
16544,1024
10780,1024
12812,1024
3088,256
9084,512
6492,512
9772,1024
14008,1024
6496,512
5584,512
9412,512
13712,1024
11332,1024
11492,1024
3328,256
6992,512
12180,1024
4248,256
2648,256
10392,1024
6108,512
4220,256
12564,1024
12388,1024
5476,512
5436,512
14300,1024
6468,512
10640,1024
7432,512
5508,512
15628,1024
5748,512
12084,1024
7076,512
6596,512
7424,512
5428,512
11436,1024
7396,512
5544,256
7192,512
3220,256
12008,1024
8208,512
2768,256
6912,512
5416,512
15164,1024
7900,512
11844,1024
7032,512
5220,512
12344,1024
7096,512
12172,1024
8108,512
7084,512
12216,1024
12056,1024
14752,1024
7092,512
3144,256
7456,512
4316,256
3116,256
7156,512
12284,1024
7316,512
7548,512
5348,512
3320,256
7696,512
5440,512
7136,512
15808,1024
7064,512
7180,512
3104,256
16424,1024
4052,256
7276,512
10456,1024
1544,128
2608,128
5620,256
12432,1024
6552,512
7144,512
6324,512
5672,512
5660,512
12116,1024
4180,256
7148,512
3900,256
6480,512
3520,256
6856,512
12176,1024
5596,512
4148,256
7084,512
5300,512
12792,1024
6104,512
7536,512
3152,256
12388,1024
15408,1024
2788,256
3968,256
16220,1024
3132,256
6472,512
6724,512
6656,512
11152,1024
6052,512
6796,512
6520,512
12308,1024
15100,1024
5984,512
14388,1024
2064,128
16268,1024
3892,256
3168,256
6780,512
11732,1024
14484,1024
