ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_012513,0,0.93,0.1,2,0.0,2,2,0,0.0,-1,3,-1,3,-1
20171018_012513,1,0.93,0.12,4,0.0,1,0,0,0.0,-1,3,-1,3,-1
20171018_012513,2,0.87,0.1,4,0.0,1,2,0,0.0,-1,3,-1,3,-1
20171018_012513,3,0.87,0.05,4,0.0,1,2,4,0.14,-1,3,-1,3,-1
20171018_012513,4,0.87,0.1,8,0.0,1,2,4,0.0,-1,3,-1,3,-1
20171018_012513,5,0.8,0.05,8,0.0,1,2,8,0.0,-1,3,-1,3,-1
20171018_012513,6,0.73,0.07,8,0.0,1,2,16,0.0,-1,3,-1,3,-1
20171018_012513,7,0.73,0.07,8,0.0,1,0,16,0.0,-1,3,-1,3,-1
20171018_012513,8,0.73,0.1,8,0.0,1,2,16,0.14,-1,3,-1,3,-1
20171018_012513,9,0.8,0.1,8,0.0,1,2,20,0.14,-1,3,-1,3,-1
20171018_012513,10,0.8,0.05,8,0.0,1,0,24,0.14,-1,3,-1,3,-1
20171018_012513,11,0.87,0.12,16,0.0,1,0,36,0.0,-1,3,-1,3,-1
20171018_012513,12,0.8,0.1,16,0.0,1,0,44,0.0,-1,3,-1,3,-1
20171018_012513,13,0.73,0.15,16,0.0,0,2,64,0.0,-1,3,-1,3,-1
20171018_012513,14,0.73,0.1,16,0.0,1,0,64,0.0,-1,3,-1,3,-1
20171018_012513,15,0.73,0.12,16,0.0,1,2,64,0.14,-1,3,-1,3,-1
20171018_012513,16,0.73,0.15,16,0.0,1,2,68,0.14,-1,3,-1,3,-1
20171018_012513,17,0.73,0.1,16,0.0,1,0,76,0.0,-1,3,-1,3,-1
20171018_012513,18,0.73,0.12,32,0.0,1,2,92,0.0,-1,3,-1,3,-1
20171018_012513,19,0.73,0.17,32,0.0,1,2,96,0.0,-1,3,-1,3,-1
20171018_012513,20,0.67,0.15,32,0.0,1,2,128,0.0,-1,3,-1,3,-1
20171018_012513,21,0.73,0.07,32,0.0,1,0,132,0.29,-1,3,-1,3,-1
20171018_012513,22,0.8,0.2,32,0.0,1,0,132,0.0,-1,3,-1,3,-1
20171018_012513,23,0.73,0.15,32,0.0,1,0,140,0.0,-1,3,-1,3,-1
20171018_012513,24,0.73,0.2,32,0.0,1,2,156,0.0,-1,3,-1,3,-1
