ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_011042,0,0.93,0.05,4,1.0,284,0,0,0.0,-1,3,-1,3,-1
20171018_011042,1,0.87,0.02,4,0.0,3,2,0,0.0,-1,3,-1,3,-1
20171018_011042,2,0.93,0.05,8,0.0,1,0,0,0.0,-1,3,-1,3,-1
20171018_011042,3,0.87,0.02,8,0.0,1,0,0,0.0,-1,3,-1,3,-1
20171018_011042,4,0.87,0.05,8,0.0,1,2,12,0.14,-1,3,-1,3,-1
20171018_011042,5,0.87,0.12,16,0.0,1,2,12,0.0,-1,3,-1,3,-1
20171018_011042,6,0.87,0.15,16,0.0,1,0,20,0.0,-1,3,-1,3,-1
20171018_011042,7,0.8,0.2,16,0.0,1,0,36,0.0,-1,3,-1,3,-1
20171018_011042,8,0.8,0.2,16,0.0,1,2,40,0.0,-1,3,-1,3,-1
20171018_011042,9,0.73,0.12,16,0.0,1,2,40,0.0,-1,3,-1,3,-1
20171018_011042,10,0.73,0.15,16,0.0,1,0,44,0.14,-1,3,-1,3,-1
20171018_011042,11,0.73,0.07,16,0.0,1,0,44,0.0,-1,3,-1,3,-1
20171018_011042,12,0.67,0.1,16,0.0,1,0,48,0.0,-1,3,-1,3,-1
20171018_011042,13,0.6,0.12,16,0.0,1,0,56,0.0,-1,3,-1,3,-1
20171018_011042,14,0.6,0.1,16,0.0,1,0,56,0.14,-1,3,-1,3,-1
20171018_011042,15,0.67,0.12,16,0.0,1,2,56,0.14,-1,3,-1,3,-1
20171018_011042,16,0.67,0.07,16,0.0,1,0,60,0.0,-1,3,-1,3,-1
20171018_011042,17,0.73,0.2,32,0.0,1,2,76,0.0,-1,3,-1,3,-1
20171018_011042,18,0.67,0.22,32,0.0,1,2,92,0.0,-1,3,-1,3,-1
20171018_011042,19,0.67,0.12,32,0.0,1,0,128,0.0,-1,3,-1,3,-1
20171018_011042,20,0.6,0.1,32,0.0,0,1,128,0.0,-1,3,-1,3,-1
20171018_011042,21,0.67,0.1,32,0.0,1,2,132,0.14,-1,3,-1,3,-1
20171018_011042,22,0.67,0.12,32,0.0,1,2,132,0.0,-1,3,-1,3,-1
20171018_011042,23,0.6,0.07,32,0.0,1,2,144,0.0,-1,3,-1,3,-1
20171018_011042,24,0.67,0.15,32,0.0,1,0,152,0.0,-1,3,-1,3,-1
20171018_011042,25,0.6,0.17,32,0.0,0,1,152,0.0,-1,3,-1,3,-1
20171018_011042,26,0.53,0.2,32,0.0,1,2,172,0.0,-1,3,-1,3,-1
20171018_011042,27,0.53,0.15,32,0.0,1,2,172,0.0,-1,3,-1,3,-1
20171018_011042,28,0.53,0.1,32,0.0,1,2,172,0.0,-1,3,-1,3,-1
20171018_011042,29,0.6,0.17,32,0.0,1,0,176,0.14,-1,3,-1,3,-1
20171018_011042,30,0.6,0.15,32,0.0,1,2,180,0.0,-1,3,-1,3,-1
20171018_011042,31,0.6,0.12,32,0.0,0,1,196,0.0,-1,3,-1,3,-1
20171018_011042,32,0.53,0.17,32,0.0,1,0,200,0.0,-1,3,-1,3,-1
20171018_011042,33,0.53,0.17,32,0.0,1,2,216,0.0,-1,3,-1,3,-1
20171018_011042,34,0.47,0.17,32,0.0,1,2,216,0.0,-1,3,-1,3,-1
20171018_011042,35,0.47,0.15,32,0.0,1,2,220,0.14,-1,3,-1,3,-1
20171018_011042,36,0.47,0.07,32,0.0,0,1,220,0.14,-1,3,-1,3,-1
20171018_011042,37,0.53,0.05,32,0.0,1,2,224,0.0,-1,3,-1,3,-1
20171018_011042,38,0.73,0.15,64,0.0,2,0,228,0.0,-1,3,-1,3,-1
20171018_011042,39,0.67,0.2,64,0.0,1,0,268,0.0,-1,3,-1,3,-1
20171018_011042,40,0.67,0.2,64,0.0,1,2,360,0.0,-1,3,-1,3,-1
20171018_011042,41,0.6,0.2,64,0.0,1,0,360,0.0,-1,3,-1,3,-1
20171018_011042,42,0.6,0.15,64,0.0,1,2,364,0.14,-1,3,-1,3,-1
20171018_011042,43,0.6,0.2,64,0.0,1,2,364,0.0,-1,3,-1,3,-1
20171018_011042,44,0.53,0.22,64,0.0,1,0,368,0.0,-1,3,-1,3,-1
20171018_011042,45,0.47,0.2,64,0.0,1,3,376,0.0,-1,3,-1,3,-1
20171018_011042,46,0.6,0.15,64,0.0,1,0,376,0.14,-1,3,-1,3,-1
20171018_011042,47,0.67,0.2,64,0.0,1,2,376,0.0,-1,3,-1,3,-1
20171018_011042,48,0.6,0.15,64,0.0,1,2,400,0.0,-1,3,-1,3,-1
20171018_011042,49,0.6,0.2,64,0.0,1,0,440,0.0,-1,3,-1,3,-1
20171018_011042,50,0.53,0.12,64,0.0,0,1,440,0.0,-1,3,-1,3,-1
20171018_011042,51,0.67,0.2,64,0.0,1,2,444,0.0,-1,3,-1,3,-1
20171018_011042,52,0.6,0.12,64,0.0,1,0,444,0.0,-1,3,-1,3,-1
20171018_011042,53,0.53,0.17,64,0.0,1,0,460,0.0,-1,3,-1,3,-1
