ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_013556,66,0.67,0.2,64,0.0,1,0,548,0.0,-1,3,-1,3,-1
20171018_013556,67,0.6,0.24,64,0.0,1,2,568,0.0,-1,3,-1,3,-1
20171018_013556,68,0.6,0.12,64,0.0,0,1,600,0.0,-1,3,-1,3,-1
20171018_013556,69,0.53,0.1,64,0.0,1,1,600,0.0,-1,3,-1,3,-1
20171018_013556,70,0.53,0.15,64,0.0,1,1,604,0.0,-1,3,-1,3,-1
20171018_013556,71,0.47,0.17,64,0.0,1,0,604,0.0,-1,3,-1,3,-1
20171018_013556,72,0.53,0.15,64,0.0,1,2,608,0.14,-1,3,-1,3,-1
20171018_013556,73,0.53,0.12,128,0.0,1,0,608,0.0,-1,3,-1,3,-1
20171018_013556,74,0.67,0.22,128,0.0,1,2,676,0.0,-1,3,-1,3,-1
20171018_013556,75,0.67,0.2,128,0.0,1,2,804,0.0,-1,3,-1,3,-1
20171018_013556,76,0.6,0.12,128,0.0,0,1,824,0.0,-1,3,-1,3,-1
20171018_013556,77,0.67,0.1,128,0.0,1,2,828,0.0,-1,3,-1,3,-1
20171018_013556,78,0.6,0.15,128,0.0,1,2,828,0.0,-1,3,-1,3,-1
20171018_013556,79,0.67,0.22,128,0.0,1,0,852,0.0,-1,3,-1,3,-1
20171018_013556,80,0.67,0.17,128,0.0,1,0,852,0.0,-1,3,-1,3,-1
20171018_013556,81,0.6,0.17,128,0.0,0,1,888,0.0,-1,3,-1,3,-1
20171018_013556,82,0.6,0.15,128,0.0,1,2,892,0.14,-1,3,-1,3,-1
20171018_013556,83,0.6,0.17,128,0.0,1,2,892,0.0,-1,3,-1,3,-1
20171018_013556,84,0.6,0.12,128,0.0,1,0,896,0.0,-1,3,-1,3,-1
20171018_013556,85,0.6,0.15,128,0.0,1,0,904,0.0,-1,3,-1,3,-1
20171018_013556,86,0.6,0.12,128,0.0,1,2,920,0.14,-1,3,-1,3,-1
20171018_013556,87,0.6,0.15,128,0.0,1,0,924,0.0,-1,3,-1,3,-1
20171018_013556,88,0.6,0.2,128,0.0,1,0,928,0.0,-1,3,-1,3,-1
20171018_013556,89,0.53,0.22,128,0.0,1,0,936,0.0,-1,3,-1,3,-1
20171018_013556,90,0.47,0.22,128,0.0,1,3,940,0.0,-1,3,-1,3,-1
20171018_013556,91,0.53,0.24,128,0.0,1,0,940,0.0,-1,3,-1,3,-1
20171018_013556,92,0.53,0.29,128,0.0,1,2,940,0.0,-1,3,-1,3,-1
20171018_013556,93,0.47,0.29,128,0.0,1,2,952,0.0,-1,3,-1,3,-1
20171018_013556,94,0.53,0.2,128,0.0,1,0,968,0.0,-1,3,-1,3,-1
20171018_013556,95,0.53,0.24,128,0.0,1,2,968,0.0,-1,3,-1,3,-1
20171018_013556,96,0.53,0.17,128,0.0,1,2,976,0.0,-1,3,-1,3,-1
20171018_013556,97,0.53,0.27,128,0.0,1,0,984,0.0,-1,3,-1,3,-1
20171018_013556,98,0.47,0.29,128,0.0,1,3,988,0.0,-1,3,-1,3,-1
20171018_013556,99,0.4,0.29,128,0.0,0,2,996,0.0,-1,3,-1,3,-1
20171018_013556,100,0.4,0.27,128,0.0,1,3,996,0.0,-1,3,-1,3,-1
20171018_013556,101,0.47,0.29,128,0.0,1,0,996,0.0,-1,3,-1,3,-1
20171018_013556,102,0.4,0.27,128,0.0,1,0,1000,0.0,-1,3,-1,3,-1
20171018_013556,103,0.4,0.24,128,0.0,0,2,1012,0.14,-1,3,-1,3,-1
20171018_013556,104,0.47,0.27,128,0.0,1,0,1012,0.0,-1,3,-1,3,-1
20171018_013556,105,0.4,0.27,128,0.0,1,3,1020,0.0,-1,3,-1,3,-1
20171018_013556,106,0.4,0.24,128,0.0,1,0,1040,0.0,-1,3,-1,3,-1
20171018_013556,107,0.4,0.17,128,0.0,0,2,1040,0.0,-1,3,-1,3,-1
20171018_013556,108,0.47,0.29,128,0.0,1,0,1072,0.0,-1,3,-1,3,-1
20171018_013556,109,0.4,0.22,128,0.0,1,3,1076,0.0,-1,3,-1,3,-1
20171018_013556,110,0.4,0.22,128,0.0,1,0,1148,0.14,-1,3,-1,3,-1
