ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_011432,0,0.93,0.12,4,0.0,263,0,0,0.0,-1,3,-1,3,-1
20171018_011432,1,0.87,0.07,4,0.0,1,2,0,0.0,-1,3,-1,3,-1
20171018_011432,2,0.87,0.02,4,0.0,1,0,0,0.0,-1,3,-1,3,-1
20171018_011432,3,0.87,0.05,8,0.0,1,2,0,0.0,-1,3,-1,3,-1
20171018_011432,4,0.87,0.02,8,0.0,1,0,4,0.14,-1,3,-1,3,-1
20171018_011432,5,0.87,0.07,8,0.0,1,0,12,0.14,-1,3,-1,3,-1
20171018_011432,6,0.87,0.17,16,0.0,1,0,16,0.0,-1,3,-1,3,-1
20171018_011432,7,0.8,0.15,16,0.0,1,2,24,0.0,-1,3,-1,3,-1
20171018_011432,8,0.8,0.1,16,0.0,1,0,40,0.0,-1,3,-1,3,-1
20171018_011432,9,0.8,0.1,16,0.0,1,2,40,0.0,-1,3,-1,3,-1
20171018_011432,10,0.73,0.12,16,1.0,0,3,44,0.0,-1,3,-1,3,-1
20171018_011432,11,0.73,0.1,16,0.0,1,2,52,0.0,-1,3,-1,3,-1
20171018_011432,12,0.8,0.1,16,0.0,1,0,52,0.0,-1,3,-1,3,-1
20171018_011432,13,0.73,0.15,16,0.0,1,0,56,0.0,-1,3,-1,3,-1
20171018_011432,14,0.67,0.12,16,0.0,1,0,68,0.0,-1,3,-1,3,-1
20171018_011432,15,0.67,0.15,16,0.0,1,2,68,0.14,-1,3,-1,3,-1
20171018_011432,16,0.73,0.1,16,0.0,1,2,68,0.14,-1,3,-1,3,-1
20171018_011432,17,0.73,0.1,32,0.0,1,2,76,0.0,-1,3,-1,3,-1
20171018_011432,18,0.73,0.15,32,0.0,1,0,96,0.0,-1,3,-1,3,-1
20171018_011432,19,0.67,0.17,32,0.0,1,2,128,0.0,-1,3,-1,3,-1
20171018_011432,20,0.6,0.07,32,0.0,0,1,132,0.0,-1,3,-1,3,-1
20171018_011432,21,0.67,0.15,32,0.0,1,2,132,0.0,-1,3,-1,3,-1
20171018_011432,22,0.73,0.15,32,0.0,1,0,132,0.0,-1,3,-1,3,-1
20171018_011432,23,0.73,0.1,32,0.0,1,2,144,0.0,-1,3,-1,3,-1
20171018_011432,24,0.67,0.1,32,0.0,1,2,164,0.0,-1,3,-1,3,-1
20171018_011432,25,0.6,0.12,32,0.0,1,2,168,0.0,-1,3,-1,3,-1
20171018_011432,26,0.67,0.22,32,0.0,1,0,168,0.0,-1,3,-1,3,-1
20171018_011432,27,0.6,0.17,32,0.0,1,0,168,0.0,-1,3,-1,3,-1
