ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_012546,0,1.0,0.07,4,0.0,5,2,0,0.0,-1,3,-1,3,-1
20171018_012546,1,0.93,0.05,4,0.0,0,2,0,0.0,-1,3,-1,3,-1
20171018_012546,2,0.87,0.02,4,0.0,1,2,4,0.0,-1,3,-1,3,-1
20171018_012546,3,0.87,0.02,4,0.0,1,0,4,0.14,-1,3,-1,3,-1
20171018_012546,4,0.87,0.05,8,0.0,1,0,4,0.0,-1,3,-1,3,-1
20171018_012546,5,0.8,0.07,8,0.0,1,0,8,0.0,-1,3,-1,3,-1
20171018_012546,6,0.8,0.12,8,0.0,1,0,16,0.0,-1,3,-1,3,-1
20171018_012546,7,0.73,0.07,8,0.0,1,0,16,0.0,-1,3,-1,3,-1
20171018_012546,8,0.73,0.12,8,0.0,1,0,20,0.0,-1,3,-1,3,-1
20171018_012546,9,0.67,0.15,8,0.0,1,0,20,0.0,-1,3,-1,3,-1
20171018_012546,10,0.6,0.17,8,0.0,1,0,28,0.0,-1,3,-1,3,-1
20171018_012546,11,0.6,0.12,8,0.0,1,0,28,0.0,-1,3,-1,3,-1
20171018_012546,12,0.53,0.1,8,0.0,1,0,28,0.0,-1,3,-1,3,-1
20171018_012546,13,0.53,0.12,8,0.0,1,0,32,0.14,-1,3,-1,3,-1
20171018_012546,14,0.53,0.15,8,0.0,1,0,32,0.0,-1,3,-1,3,-1
20171018_012546,15,0.53,0.17,8,0.0,0,2,36,0.0,-1,3,-1,3,-1
20171018_012546,16,0.47,0.12,8,0.0,1,2,44,0.0,-1,3,-1,3,-1
20171018_012546,17,0.53,0.15,8,0.0,1,0,48,0.14,-1,3,-1,3,-1
20171018_012546,18,0.53,0.05,8,0.0,1,0,48,0.14,-1,3,-1,3,-1
20171018_012546,19,0.6,0.2,16,0.0,1,0,60,0.0,-1,3,-1,3,-1
20171018_012546,20,0.6,0.15,16,0.0,1,0,68,0.0,-1,3,-1,3,-1
20171018_012546,21,0.67,0.2,16,0.0,1,2,88,0.14,-1,3,-1,3,-1
20171018_012546,22,0.73,0.17,16,0.0,1,2,92,0.0,-1,3,-1,3,-1
20171018_012546,23,0.8,0.24,32,0.0,1,0,116,0.0,-1,3,-1,3,-1
20171018_012546,24,0.73,0.22,32,0.0,1,3,136,0.0,-1,3,-1,3,-1
20171018_012546,25,0.67,0.27,32,0.0,0,2,172,0.0,-1,3,-1,3,-1
20171018_012546,26,0.67,0.2,32,0.0,1,3,172,0.0,-1,3,-1,3,-1
20171018_012546,27,0.6,0.22,32,0.0,1,3,172,0.0,-1,3,-1,3,-1
20171018_012546,28,0.6,0.2,32,0.0,1,3,176,0.0,-1,3,-1,3,-1
20171018_012546,29,0.53,0.22,32,0.0,1,3,176,0.0,-1,3,-1,3,-1
20171018_012546,30,0.47,0.2,32,0.0,1,3,180,0.0,-1,3,-1,3,-1
20171018_012546,31,0.47,0.24,32,0.0,1,3,180,0.0,-1,3,-1,3,-1
20171018_012546,32,0.53,0.29,32,0.0,1,0,180,0.14,-1,3,-1,3,-1
20171018_012546,33,0.47,0.2,32,0.0,0,2,188,0.0,-1,3,-1,3,-1
20171018_012546,34,0.53,0.17,32,0.0,1,0,200,0.14,-1,3,-1,3,-1
20171018_012546,35,0.53,0.17,32,0.0,1,0,200,0.0,-1,3,-1,3,-1
20171018_012546,36,0.53,0.15,32,0.0,1,2,212,0.14,-1,3,-1,3,-1
20171018_012546,37,0.53,0.07,32,0.0,1,0,228,0.14,-1,3,-1,3,-1
20171018_012546,38,0.6,0.22,64,0.0,1,2,260,0.0,-1,3,-1,3,-1
20171018_012546,39,0.6,0.2,64,0.0,1,2,264,0.0,-1,3,-1,3,-1
20171018_012546,40,0.6,0.22,64,0.0,1,0,332,0.0,-1,3,-1,3,-1
20171018_012546,41,0.53,0.24,64,0.0,1,0,336,0.0,-1,3,-1,3,-1
20171018_012546,42,0.47,0.12,64,0.0,0,1,344,0.0,-1,3,-1,3,-1
20171018_012546,43,0.4,0.12,64,0.0,1,1,344,0.0,-1,3,-1,3,-1
20171018_012546,44,0.6,0.17,64,0.0,1,2,344,0.14,-1,3,-1,3,-1
20171018_012546,45,0.6,0.07,64,0.0,1,2,344,0.0,-1,3,-1,3,-1
20171018_012546,46,0.67,0.15,64,0.0,1,0,376,0.14,-1,3,-1,3,-1
20171018_012546,47,0.67,0.17,64,0.0,1,0,384,0.0,-1,3,-1,3,-1
20171018_012546,48,0.6,0.12,64,0.0,1,0,408,0.0,-1,3,-1,3,-1
20171018_012546,49,0.6,0.12,64,0.0,1,2,440,0.0,-1,3,-1,3,-1
20171018_012546,50,0.6,0.17,64,0.0,1,0,440,0.0,-1,3,-1,3,-1
20171018_012546,51,0.53,0.2,64,0.0,1,0,444,0.0,-1,3,-1,3,-1
20171018_012546,52,0.53,0.12,64,0.0,1,0,448,0.14,-1,3,-1,3,-1
20171018_012546,53,0.6,0.05,64,0.0,1,0,448,0.14,-1,3,-1,3,-1
20171018_012546,54,0.6,0.1,64,0.0,1,0,452,0.14,-1,3,-1,3,-1
20171018_012546,55,0.6,0.2,64,0.0,1,2,464,0.0,-1,3,-1,3,-1
20171018_012546,56,0.6,0.15,64,0.0,1,0,472,0.0,-1,3,-1,3,-1
20171018_012546,57,0.53,0.1,64,0.0,1,0,488,0.0,-1,3,-1,3,-1
20171018_012546,58,0.6,0.24,64,0.0,1,2,492,0.0,-1,3,-1,3,-1
20171018_012546,59,0.53,0.24,64,0.0,1,0,492,0.0,-1,3,-1,3,-1
20171018_012546,60,0.53,0.2,64,0.0,1,2,504,0.0,-1,3,-1,3,-1
20171018_012546,61,0.53,0.15,64,0.0,1,2,504,0.0,-1,3,-1,3,-1
20171018_012546,62,0.53,0.17,64,0.0,0,1,508,0.0,-1,3,-1,3,-1
20171018_012546,63,0.47,0.12,64,0.0,1,0,512,0.0,-1,3,-1,3,-1
20171018_012546,64,0.53,0.2,64,0.0,1,2,520,0.0,-1,3,-1,3,-1
20171018_012546,65,0.6,0.22,64,0.0,1,0,520,0.0,-1,3,-1,3,-1
20171018_012546,66,0.53,0.17,64,0.0,1,0,540,0.0,-1,3,-1,3,-1
20171018_012546,67,0.53,0.22,64,0.0,1,0,580,0.0,-1,3,-1,3,-1
20171018_012546,68,0.47,0.2,64,0.0,1,2,580,0.0,-1,3,-1,3,-1
20171018_012546,69,0.53,0.2,64,0.0,1,0,584,0.0,-1,3,-1,3,-1
20171018_012546,70,0.47,0.02,64,0.0,0,1,584,0.0,-1,3,-1,3,-1
20171018_012546,71,0.4,0.05,64,0.0,1,1,596,0.0,-1,3,-1,3,-1
20171018_012546,72,0.53,0.17,64,0.0,1,2,596,0.0,-1,3,-1,3,-1
20171018_012546,73,0.6,0.22,128,0.0,1,0,596,0.0,-1,3,-1,3,-1
20171018_012546,74,0.6,0.17,128,0.0,1,2,684,0.14,-1,3,-1,3,-1
20171018_012546,75,0.6,0.17,128,0.0,1,2,816,0.0,-1,3,-1,3,-1
20171018_012546,76,0.67,0.27,128,0.0,1,0,820,0.0,-1,3,-1,3,-1
20171018_012546,77,0.6,0.24,128,0.0,1,0,828,0.0,-1,3,-1,3,-1
20171018_012546,78,0.53,0.27,128,0.0,1,0,848,0.0,-1,3,-1,3,-1
20171018_012546,79,0.53,0.2,128,0.0,1,0,848,0.14,-1,3,-1,3,-1
20171018_012546,80,0.53,0.27,128,0.0,1,0,848,0.0,-1,3,-1,3,-1
20171018_012546,81,0.47,0.27,128,0.0,1,3,852,0.0,-1,3,-1,3,-1
20171018_012546,82,0.4,0.32,128,0.0,1,0,860,0.0,-1,3,-1,3,-1
